asset_a,asset_b,r2_real,r2_shuffled,delta
USDEUSDT_h1,ROAMUSDT_h1,0.6351479572665505,0.024559442270696175,0.6105885149958543
UMAUSDT_h1,IDEXUSDT_h1,0.9728633741121939,0.3624377540463093,0.6104256200658846
UMAUSDT_h1,COSUSDT_h1,0.9716980682269348,0.3612829244757936,0.6104151437511413
UMAUSDT_h1,DEGENUSDT_h1,0.9664424901554945,0.3566615371784936,0.609780952977001
JSTUSDT_h1,ALPACAUSDT_h1,0.8713552122284587,0.2619857665088904,0.6093694457195683
USTCUSDT_h1,YGGUSDT_h1,0.8459765148033563,0.23662099547972293,0.6093555193236334
GUSDT_h1,ASTRUSDT_h1,0.9687225680090552,0.3594878111721429,0.6092347568369123
UMAUSDT_h1,XAIUSDT_h1,0.9709852547629958,0.3618068161805328,0.609178438582463
USTCUSDT_h1,ZRXUSDT_h1,0.8406536238688681,0.23159659758301732,0.6090570262858508
UMAUSDT_h1,ETHFIUSDT_h1,0.9667283026603635,0.3576965032799798,0.6090317993803837
XCHUSDT_h1,BATUSDT_h1,0.8572162371115303,0.2482946996705797,0.6089215374409506
RVNUSDT_h1,PHAUSDT_h1,0.9253825510549654,0.31659360568319383,0.6087889453717715
UMAUSDT_h1,BAKEUSDT_h1,0.9633591078955078,0.35459362464724276,0.6087654832482651
USDEUSDT_h1,ELXUSDT_h1,0.6378204606281491,0.029063761314009562,0.6087566993141396
BATUSDT_h1,NTRNUSDT_h1,0.96426710301212,0.3555734213618683,0.6086936816502517
